Category	Category_Description	Abbreviation	Definition
NonCan	Non-cancer drug with FDA approval	Bone	Bone resorption
NonCan	Non-cancer drug with FDA approval	CardG	Cardiac Glycoside
NonCan	Non-cancer drug with FDA approval	Cath	Cathartic
NonCan	Non-cancer drug with FDA approval	Mal	Malaria
NonCan	Non-cancer drug with FDA approval	Psy	Antipsychotic
NonCan	Non-cancer drug with FDA approval	Ste	Steroid
PK	Protein kinase inhibitor	AKT	Akt inhibitor
PK	Protein kinase inhibitor	ALK	ALK inhibitor
PK	Protein kinase inhibitor	ATR	ATR inhibitor
PK	Protein kinase inhibitor	AURK	Aurora kinase inhibitor
PK	Protein kinase inhibitor	AXL	Axl inhibitor
PK	Protein kinase inhibitor	BRAF	BRAF inhibitor
PK	Protein kinase inhibitor	CDK	CDK inhibitor
PK	Protein kinase inhibitor	CHEK	"CHK inhibitor (CHEK1, CHEK2)"
PK	Protein kinase inhibitor	EGFR	EGFR inhibitor.
PK	Protein kinase inhibitor	ERBB2	ERBB2 inhibitor
PK	Protein kinase inhibitor	ERK	ERK inhibitor
PK	Protein kinase inhibitor	FAK	FAK inhibitor
PK	Protein kinase inhibitor	FGFR	FGFR inhibitor
PK	Protein kinase inhibitor	FLT	"Flt inhibitor (FLT1, FLT3, FLT4)"
PK	Protein kinase inhibitor	FYN	FYN inhibitor
PK	Protein kinase inhibitor	GSK3A	GSK3A inhibitor
PK	Protein kinase inhibitor	GSK3B	GSK3B inhibitor
PK	Protein kinase inhibitor	IGF1R	IGF1R inhibitor
PK	Protein kinase inhibitor	JAK	JAK inhibitor
PK	Protein kinase inhibitor	KIT	c-Kit inhibitor
PK	Protein kinase inhibitor	MAP2K	MAP2K (MEK) inhibitor
PK	Protein kinase inhibitor	MAP3K	MAP3K (ERK1) inhibitor
PK	Protein kinase inhibitor	MAPK14	MAPK14 (p38) inhibitor
PK	Protein kinase inhibitor	MAPK8	MAPK8 (JNK) inhibitor
PK	Protein kinase inhibitor	MET	MET inhibitor
PK	Protein kinase inhibitor	MTOR	MTOR inhibitor
PK	Protein kinase inhibitor	NTRK	"NTRK1, NTRK2 inhibitor"
PK	Protein kinase inhibitor	PIK3	Phosphoinositide-3-Kinase
PK	Protein kinase inhibitor	PRKCA	PRKCA (PRK) inhibitor
PK	Protein kinase inhibitor	PTK	Protein tyrosine kinase (a gene name)
PK	Protein kinase inhibitor	RAF	RAF inhibitor
PK	Protein kinase inhibitor	SRC	SRC inhibitor
PK	Protein kinase inhibitor	SYK	SYK inhibitor
PK	Protein kinase inhibitor	VEGF	VEGF inhibitor
PK	Protein kinase inhibitor	VEGFR	VEGFR inhibitor
PK	Protein kinase inhibitor	WEE1	WEE1 inhibitor
-	-	A2	Alkylating at N-2 position of guanine
-	-	A6	Alkylating at O-6 of guanine
-	-	A7	Alkylating at N-7 position of guanine
-	-	Ab	Antibodies
-	-	AGPAT2	AGPAT2 (LPAATB) inhibitor
-	-	AlkAg	Alkylating agent
-	-	AM	Antimetabolite
